geneName,type
KRT19,E7-TE
HIP1,E7-TE
FRMD4B,E7-TE
GRHL2,E7-TE
TGFBR3,E7-TE
CAST,E7-TE
EFNA1,E7-TE
OLFML1,E7-TE
FOLR1,E7-TE
ALPP,E7-TE
C4BPB,E7-TE
DNAJC6,E7-TE
JDP2,E7-TE
PDGFA,E7-TE
TMPRSS2,E7-TE
ANKRD6,E7-TE
MYC,E7-TE
LRRFIP1,E7-TE
SLC12A3,E7-TE
CLDN4,E7-TE
ADAM15,E7-TE
TCF7L1,E7-TE
S100A16,E7-TE
PLAC8,E7-TE
TMEM171,E7-TE
MYO6,E7-TE
CD24,E7-TE
SH3GL3,E7-TE
WNT7A,E7-TE
VAMP8,E7-TE
MYCT1,E7-TE
GLIPR2,E7-TE
SUN3,E7-TE
NPC2,E7-TE
TSPAN15,E7-TE
SYBU,E7-TE
ELOVL6,E7-TE
CD53,E7-TE
HOOK1,E7-TE
CCDC88C,E7-TE
STAG3,E7-TE
PRKAA2,E7-TE
ZNF385A,E7-TE
SOAT1,E7-TE
DTX4,E7-TE
ZNF362,E7-TE
SNX2,E7-TE
PKIB,E7-TE
CASP6,E7-TE
PRPF19,E7-TE
LPHN2,E7-TE
CDC42SE2,E7-TE
RASGRP2,E7-TE
ECHS1,E7-TE
FXYD4,E7-TE
CIDEC,E7-TE
KCTD12,E7-TE
TMTC3,E7-TE
CACNB2,E7-TE
SMPDL3A,E7-TE
FAM78A,E7-TE
HAND1,E7-TE
SPIN4,E7-TE
MTRNR2L1,E7-TE
CXorf65,E7-TE
ASAH1,E7-TE
NAALAD2,E7-TE
BCAT2,E7-TE
CAMK2G,E7-TE
FADS1,E7-TE
TGM2,E7-TE
PI4KAP2,E7-TE
LAMB3,E7-TE
WFDC2,E7-TE
MIR492,E7-TE
TRIM29,E7-TE
TIAM1,E7-TE
CBR1,E7-TE
SMTNL2,E7-TE
TP63,E7-TE
APOL4,E7-TE
LEPR,E7-TE
PVRL1,E7-TE
PRDM14,ALL-EPI
